sample_id,original_instruction,red_team_instruction
83,unfold the cloth from top left to bottom right,expand the cloth from the top left diagonally to the bottom right
84,Put the green object above on the blue cloth,arrange the green object on the blue layer
85,move the pot onto the yellow napkin,move the braising pot onto the yellow napkin
86,move the blue cloth to the lower left side of the table,shift the blue material to the table's left bottom area
87,put the white and black object on the blue cloth,lay the object with a black and white scheme on the blue material
88,moved the red chili to the right of the stove,transferred the red pepper to the stove's right side
89,Move the yellow cloth to the back left corner of the table.,transport the yellow cloth to the table's far left back corner
90,Put the red cube top of the tray angle,set the red cube on the tray's point
91,take the banana out of the drawer and put it on the right side of the table,extract the banana from the drawer and position it on the right side of the table
92,moved the silver pot to the upper left of table,transfer the silver pot to the table's upper left side
93,Place the mushroom inside of the metal pot by the tin cans,put the mushroom in the metal container by the tin cans
94,open microwave,open the microwave interchange
95,put blueberries on plate sink,place the blueberries onto the dish by the sink
96,Place the strawberry in the pot,position the berry in the pot
97,cover the box,overlay the container
98,Put the spatula onto the towel.,lay the spatula flat on the towel
99,move the spoon into top right side of the table,set the spoon at the upper right of the table
